date,       link,                  time, program,   solver,             puzzle, format
2025-01-22, MhKeXWYXi7E,      12m 09.88s, HSC,      jessica,            3x3x3x3, single
2025-01-24, qOIvzOe5BkI,          20.49s, HSC,      bilal,              2x2x2x2, ao5
2025-01-26, R7-6i1LyiHc,       8m 17.12s, HSC,      jessica,            3x3x3x3, single
2025-01-26, ee8L51bDFH4,       2m 29.95s, HSC,      josie,              3x3x3x3, single
2025-01-31, YDE-g3dp_TU,          20.18s, HSC,      bilal,              2x2x2x2, ao5
2025-01-31, whEhoB2KpIM,          16.06s, HSC,      bilal,              2x2x2x2, single
2025-01-31, AJZjTSM27bE,       2m 26.86s, HSC,      josie,              3x3x3x3, single
2025-02-01, hDBiA3bfY34,      18m 47.49s, MT,       nenri,              klein_quartic, single
2025-02-01, 4gBy8fQUZ28,      17m 28.64s, MT,       ethandavis,         klein_quartic, single
2025-01-31, AxhN00XyUnM,       2m 10.38s, HSC,      nenri,              3x3x3x3, single
2025-02-05, iw28pm_REmc,          15.43s, HSC,      bilal,              2x2x2x2, single
2025-02-08, FzEFmGHZy8g,       2m 20.83s, HSC,      josie,              3x3x3x3, single
2025-02-08, BUctHT8xS2c,       2m 17.40s, HSC,      josie,              3x3x3x3, single
2025-02-11, LeDVNhBoXjI,          20.17s, HSC,      bilal,              2x2x2x2, ao5
2025-02-11, TamadRYGMq4&t=155, 1m 52.33s, HSC,      hactar,             3x3x3x3, single
2025-02-11, TamadRYGMq4,       2m 00.54s, HSC,      hactar,             3x3x3x3, ao5
2025-02-10, RHqPtVdBhGU,       2m 08.08s, HSC,      hana,               3x3x3x3, single
2025-02-03, lAB4EHEPzEM,      11m 45.50s, HSC,      hana,               4x4x4x4, single
2025-02-12, Ibf9EztXKfE,          19.50s, HSC,      bilal,              2x2x2x2, ao5
2025-02-12, t8Zk02SvlFQ,      10m 37.07s, MPU,      cubedude,           2x2x3x3, single
2025-02-12, YobA01SAev8,       2m 09.48s, HSC,      josie,              3x3x3x3, single
2025-02-13, s_BjeD33e4E,       3m 19.88s, HSC,      bilal,              3x3x3x3, single
2025-02-13, s_BjeD33e4E,       3m 19.56s, HSC,      bilal,              3x3x3x3, single
2025-02-13, s_BjeD33e4E,       3m 22.88s, HSC,      bilal,              3x3x3x3, ao5
2025-02-13, nsx_GrMjhAU,       3m 13.53s, HSC,      bilal,              3x3x3x3, single
2025-02-13, P6jdNZq4uEI,       3m 05.36s, HSC,      bilal,              3x3x3x3, single
2025-02-13, u4q52gmk98M,       3m 18.00s, MC3D,     cubedude,           3x3x3_1d, single
2025-02-12, _XdyQrqByvw,   2h 14m 20.28s, MC7D,     vin,                3x3x3x3x3, single
2025-02-15, zjNWVmWBlDM,   1h 49m 47.50s, MC7D,     vin,                3x3x3x3x3, single
2025-02-25, naZdNwICT0o,       2m 59.86s, HSC,      bilal,              3x3x3x3, single
2025-02-16, 2GPtYwmSeIU,       9m 42.49s, AKKEI-SIM, cubedude,          virt_phys_3x3x3x3, single
2025-02-18, qG2FeSbjj1s,   3h 06m 44.28s, HSC,      nenri,              7x7x7x7, single
2025-02-19, 9qgqGx8304Q,   2h 18m 54.27s, MC7D,     luna,               3x3x3x3x3, single
2025-02-20, 9RByH-S5x1A,       2m 02.98s, HSC,      josie,              3x3x3x3, single
2025-02-20, 4-53mHrHCG0,       1m 59.60s, HSC,      josie,              3x3x3x3, single
2025-02-21, LS-P2zr_eLc,       1m 56.40s, HSC,      nenri,              3x3x3x3, single
2025-02-21, wYB2I55AO0s,          15.13s, HSC,      bilal,              2x2x2x2, single
2025-02-24, rvev4Mace78,          14.77s, HSC,      bilal,              2x2x2x2, single
2024-09-07, XTUYjfnQ-4o,      10m 46.95s, HSC,      pkearth,            4x4x4x4, single
2025-02-27, QZ4LvxdNMhE,   1h 37m 42.50s, MC7D,     rowan,              3x3x3x3x3, single
2025-03-02, beIAmFvbc38,       2m 17.79s, HSC,      nenri,              3x3x3x3, ao5
2025-03-04, KsFfGdTR1Mw,      54m 31.37s, HSC,      cubedude,           6x6x6x6, single
2025-03-13, o1R81eNRmBs,      52m 41.23s, HSC,      nenri,              6x6x6x6, single
2025-03-13, b9AhidBxdcc,   1h 28m 56.09s, MC7D+MKB, cubedude,           3x3x3x3x3, single
2025-03-15, _hEv5PCUeig,          19.32s, HSC,      bilal,              2x2x2x2, ao5
2025-03-19, p6KtHQZFSNw,       4m 44.11s, HSC,      nenri,              3x3x3x3, nf
2025-03-21, 2H81RuPkw6Y,   1h 45m 16.10s, HSC,      nenri,              7x7x7x7, single
2025-03-21, i2NEncIlyUc,          14.00s, HSC,      bilal,              2x2x2x2, single
2025-03-25, Z5ls8I7jWQc,       2m 58.86s, HSC,      bilal,              3x3x3x3, single
2025-03-25, Z5ls8I7jWQc,       2m 58.37s, HSC,      bilal,              3x3x3x3, single
2025-03-25, Z5ls8I7jWQc,       3m 09.91s, HSC,      bilal,              3x3x3x3, ao5
2025-03-26, 0yPqgfXwxYk,          45.63s, MC4D,     nenri,              3-layer_simplex, single
2025-03-26, R9KoUtaGDss,       2m 53.95s, HSC,      bilal,              3x3x3x3, single
2025-03-26, R9KoUtaGDss,       2m 51.52s, HSC,      bilal,              3x3x3x3, single
2025-03-26, R9KoUtaGDss,       3m 02.45s, HSC,      bilal,              3x3x3x3, ao5
2025-03-26, IP1HsVjx9cg,       2m 42.68s, HSC,      bilal,              3x3x3x3, single
2025-03-26, IP1HsVjx9cg,       3m 00.38s, HSC,      bilal,              3x3x3x3, ao5
2025-03-30, EmWqNnGTvVU,       9m 47.69s, HSC,      void,               3x3x3x3, single
2025-04-01, IAPsjrtd6e0,   3h 35m 42.02s, MC7D,     nenri,              3x3x3x3x3, single
2025-04-10, TNyr22a0hJ8,          19.09s, HSC,      bilal,              2x2x2x2, ao5
2025-04-11, 04bvSu26Uhk,          18.81s, HSC,      bilal,              2x2x2x2, ao5
2025-04-11, rNAfIY5vQYw,      47m 46.86s, HSC,      nenri,              6x6x6x6, single
2025-04-12, ejzlUKKj3AI,      13m 36.15s, MT,       nenri,              klein_quartic, single
2025-04-15, JsGM31FT71g,       2m 45.41s, MC3D,     nenri,              3x3x3_1d, single
2025-04-15, l9JYidNiYZA,       5m 27.31s, HSC,      vin,                3x3x3x3, single
2025-04-16, 4zjSPuOxuwA,   2h 49m 21.55s, MC7D,     nenri,              3x3x3x3x3, single
2025-04-18, PosuMvTMp2A,       4m 52.60s, HSC,      vin,                3x3x3x3, single
2025-04-26, 8FHu-wN28eM,       9m 01.62s, HSC,      bruh,               3x3x3x3, single
2025-04-26, xGDdyeuNOtE,          25.40s, HSC,      nenri,              2x2x2x2, single
2025-04-26, zOJgQoQqcyA,       4m 26.19s, HSC,      nenri,              3x3x3x3, nf
2025-04-25, rq64gPludvo,  10h 48m 56.70s, MC7D+MKB, cubedude,           4x4x4x4x4, single
2025-04-27, B5fNCJx-G90,       1m 59.55s, MPU,      nenri,              2x2x2x3, single
2025-04-27, TaZowOhdGM0,       1m 59.18s, HSC,      josie,              3x3x3x3, single
2025-04-28, -UAlzaBvvCA,      25m 37.06s, HSC,      nenri,              5x5x5x5, single
